label,sample_size,distinct_matrices_in_sample,contains_1295,contains_1220,in_sample_total_cost,in_sample_worst_recourse,complete_library_total_cost,complete_library_worst_recourse,gap_vs_in_sample,gap_vs_exact_optimum,in_sample_rel_dev_from_exact_pct,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,investment_cost,worst_scenario_id,worst_events_json,worst_unmet_tons,master_assembly_plus_lp_time_s,maximal_set_eval_time_s,wall_time_s
random_seed_27,1000,999,False,False,3579040972.3404255,3509822100.0,8278877272.3404255,8209658400.0,4699836300.0,4697783799.304987,-0.057314915415312064,600.0,600.0,500.0,300.79787234042556,130.0,69218872.34042554,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.812594890594482,3.0733838081359863,14.087642908096313
random_seed_28,1000,998,False,False,3579715196.1121397,3510862500.0,4680373196.11214,4611520500.0,1100658000.0,1099279723.0767007,-0.03848759977021893,600.0,600.0,350.0,179.08225337212377,190.0,68852696.11213964,1295,"[[0, 0, 6], [1, 0, 6]]",410.0,12.953007698059082,3.2415549755096436,16.398499965667725
random_seed_29,1000,999,False,False,3578880900.0,3510144900.0,8278574400.0,8209838400.0,4699693500.0,4697480926.964561,-0.061784844548153424,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.3260018825531,3.2774431705474854,15.805759906768799
random_seed_30,1000,999,False,False,3578830500.0,3510094500.0,8278574400.0,8209838400.0,4699743900.0,4697480926.964561,-0.06319223590443879,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.759485006332397,3.116323947906494,17.07755708694458
random_seed_31,1000,999,False,False,3579736575.488455,3510925807.282416,6579329498.889875,6510518730.683836,2999592923.4014206,2998236025.8544364,-0.037890592837110444,600.0,600.0,407.69316163411366,192.3068383658864,158.33333333333334,68810768.20603907,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,11.420878171920776,2.7868669033050537,14.40855884552002
random_seed_32,1000,1000,False,False,3579795446.888549,3511236010.6796737,6579173749.537748,6510614313.328873,2999378302.6491995,2998080276.5023093,-0.03624664244773032,600.0,600.0,330.388453200714,174.02886699821477,158.33333333333331,68559436.20887528,1295,"[[0, 0, 6], [1, 0, 6]]",600.0000000000002,11.401127099990845,3.277554988861084,14.877731800079346
random_seed_33,1000,998,False,False,3579788075.0772157,3511254340.223331,6579127306.961273,6510593572.1073885,2999339231.8840575,2998033833.925834,-0.03645249608960499,600.0,600.0,338.5542884295543,161.44571157044427,158.33333333333334,68533734.85388453,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.20906400680542,2.9405829906463623,13.349807739257812
random_seed_34,1000,999,False,False,3578978952.631579,3509801100.0,8278839252.631579,8209661400.0,4699860300.0,4697745779.59614,-0.059046780537335794,600.0,600.0,450.0,322.7368421052632,130.0,69177852.63157895,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.805610179901123,3.111157178878784,14.11812686920166
random_seed_35,1000,1000,False,False,3580039017.2185435,3511021454.304636,6402849811.920528,6333832249.006621,2822810794.701985,2821756338.8850894,-0.029445079410387393,600.0,600.0,350.0,282.31788079470186,161.280353200883,69017562.91390729,1295,"[[0, 0, 6], [1, 0, 6]]",582.3178807947019,11.97726583480835,3.1671671867370605,15.348108768463135
random_seed_36,1000,999,False,False,3579831070.939794,3511242821.1600585,6579213651.967693,6510625402.187958,2999382581.0278993,2998120178.9322543,-0.03525186106284185,600.0,600.0,326.02276064610584,184.94309838473535,158.33333333333334,68588249.7797357,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.602492332458496,2.937919855117798,13.738929033279419
